ANTECO_SP,Negros_shrimp_farm,NSF_ANTECO_PR
0.12226219,0.160308609,0.114363891
0.056446764,0.075403942,0.052800229
0.000748674,0.001086072,0.000700309
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.001910914,0.001149081,0.001787466
0.058175567,0.154356736,0.054417349
0.114015916,0.362199537,0.106650338
0.16262563,0.536301196,0.1521198
0.195789837,0.661625416,0.183141556
0.215628366,0.721773325,0.201698489
0.213898864,0.715711503,0.200080716
0.195602241,0.642366687,0.182966079
0.151112984,0.556324895,0.141350886
0.101366903,0.406113204,0.094818468
0.04828924,0.203457779,0.045169692
0.000755,0.007269698,0.000706226
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.009193277,0.001509876,0.00859938
0.18741123,0.086381992,0.175304218
0.433946757,0.186404904,0.405913225
0.615932458,0.270149927,0.57614241
0.713421493,0.349986761,0.667333525
0.769026176,0.337009802,0.719346073
0.76087915,0.28928754,0.711725355
0.703533863,0.345454879,0.658084649
0.601108451,0.320185449,0.562276054
0.429330283,0.194032056,0.401594981
0.182347703,0.081386436,0.170567801
0.007334588,0.001007409,0.006860764
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.008505057,0.001542073,0.007955619
0.181580462,0.162782571,0.169850125
0.417742031,0.362281067,0.390755346
0.562945845,0.536741355,0.526578802
0.680911396,0.665478316,0.636923623
0.74021459,0.754855513,0.692395752
0.744900061,0.763927928,0.696778536
0.687054915,0.719306704,0.642670263
0.574653443,0.621384024,0.537530074
0.417861377,0.464267682,0.390866982
0.183145601,0.251589816,0.171314154
0.008613719,0.015294338,0.008057261
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.011480421,0.001608489,0.01073877
0.166041938,0.175874538,0.15531541
0.334970985,0.393709579,0.313331418
0.457416618,0.578312925,0.427866902
0.562012627,0.699832483,0.525705871
0.519915695,0.790833995,0.486328456
0.446385387,0.79762356,0.417548304
0.513693245,0.736181128,0.480507985
0.503454987,0.628917324,0.470931131
0.292748817,0.457959696,0.273836857
0.114245679,0.246110215,0.106865258
0.000837865,0.013720372,0.000783738
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.000938129,0.001784198,0.000877525
0.025129939,0.169306179,0.023506511
0.052502911,0.369237626,0.049111154
0.085153668,0.51927708,0.079652629
0.095810079,0.652403048,0.089620622
0.108186261,0.719117952,0.101197286
0.106799245,0.716704286,0.099899873
0.106515849,0.666265307,0.099634784
0.087066865,0.574178995,0.08144223
0.056892205,0.416948353,0.053216894
0.028040172,0.218708806,0.02622874
0.000801632,0.010044923,0.000749845
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.001018699,7.30169E-05,0.00095289
0.103311327,0.117717386,0.09663728
0.223873689,0.253616645,0.209411154
0.299267583,0.404205498,0.279934503
0.378379096,0.535516826,0.353935308
0.415318845,0.612089825,0.3884887
0.405071358,0.662812719,0.378903215
0.333995804,0.663717417,0.312419235
0.316223943,0.532996726,0.29579546
0.181912457,0.396690287,0.170160673
